amplicon_number	hyperparameter
1	0.002898550724637681
2	0.002898550724637681
3	0.002898550724637681
4	0.002898550724637681
5	0.002898550724637681
6	0.002898550724637681
7	0.002898550724637681
8	0.002898550724637681
9	0.002898550724637681
10	0.002898550724637681
11	0.002898550724637681
12	0.002898550724637681
13	0.002898550724637681
14	0.002898550724637681
15	0.002898550724637681
16	0.002898550724637681
17	0.002898550724637681
18	0.002898550724637681
19	0.002898550724637681
20	0.002898550724637681
21	0.002898550724637681
22	0.002898550724637681
23	0.002898550724637681
24	0.002898550724637681
25	0.002898550724637681
26	0.002898550724637681
27	0.002898550724637681
28	0.002898550724637681
29	0.002898550724637681
30	0.002898550724637681
31	0.002898550724637681
32	0.002898550724637681
33	0.002898550724637681
34	0.002898550724637681
35	0.002898550724637681
36	0.002898550724637681
37	0.002898550724637681
38	0.002898550724637681
39	0.002898550724637681
40	0.002898550724637681
41	0.002898550724637681
42	0.002898550724637681
43	0.002898550724637681
44	0.002898550724637681
45	0.002898550724637681
46	0.002898550724637681
47	0.002898550724637681
48	0.002898550724637681
49	0.002898550724637681
50	0.002898550724637681
51	0.002898550724637681
52	0.002898550724637681
53	0.002898550724637681
54	0.002898550724637681
55	0.002898550724637681
56	0.002898550724637681
57	0.002898550724637681
58	0.002898550724637681
59	0.002898550724637681
60	0.002898550724637681
61	0.002898550724637681
62	0.002898550724637681
63	0.002898550724637681
64	0.002898550724637681
65	0.002898550724637681
66	0.002898550724637681
67	0.002898550724637681
68	0.002898550724637681
69	0.002898550724637681
70	0.002898550724637681
71	0.002898550724637681
72	0.002898550724637681
73	0.002898550724637681
74	0.002898550724637681
75	0.002898550724637681
76	0.002898550724637681
77	0.002898550724637681
78	0.002898550724637681
79	0.002898550724637681
80	0.002898550724637681
81	0.002898550724637681
82	0.002898550724637681
83	0.002898550724637681
84	0.002898550724637681
85	0.002898550724637681
86	0.002898550724637681
87	0.002898550724637681
88	0.002898550724637681
89	0.002898550724637681
90	0.002898550724637681
91	0.002898550724637681
92	0.002898550724637681
93	0.002898550724637681
94	0.002898550724637681
95	0.002898550724637681
96	0.002898550724637681
97	0.002898550724637681
98	0.002898550724637681
99	0.002898550724637681
100	0.002898550724637681
101	0.002898550724637681
102	0.002898550724637681
103	0.002898550724637681
104	0.002898550724637681
105	0.002898550724637681
106	0.002898550724637681
107	0.002898550724637681
108	0.002898550724637681
109	0.002898550724637681
110	0.002898550724637681
111	0.002898550724637681
112	0.002898550724637681
113	0.002898550724637681
114	0.002898550724637681
115	0.002898550724637681
116	0.002898550724637681
117	0.002898550724637681
118	0.002898550724637681
119	0.002898550724637681
120	0.002898550724637681
121	0.002898550724637681
122	0.002898550724637681
123	0.002898550724637681
124	0.002898550724637681
125	0.002898550724637681
126	0.002898550724637681
127	0.002898550724637681
128	0.002898550724637681
129	0.002898550724637681
